url,type,name,parent
https://altftool.com/locations/rajkot,City,Rajkot,gujarat
https://altftool.com/locations/vadodara,City,Vadodara,gujarat
https://altftool.com/locations/jodhpur,City,Jodhpur,rajasthan
https://altftool.com/locations/udaipur,City,Udaipur,rajasthan
https://altftool.com/locations/kota,City,Kota,rajasthan
https://altftool.com/locations/mysuru,City,Mysuru,karnataka
https://altftool.com/locations/mangaluru,City,Mangaluru,karnataka
https://altftool.com/locations/new-york,City,New York City,usa
https://altftool.com/locations/los-angeles,City,Los Angeles,usa
https://altftool.com/locations/chicago,City,Chicago,usa
https://altftool.com/locations/san-francisco,City,San Francisco,usa
https://altftool.com/locations/houston,City,Houston,usa
https://altftool.com/locations/seattle,City,Seattle,usa
https://altftool.com/locations/boston,City,Boston,usa
https://altftool.com/locations/london,City,London,uk
https://altftool.com/locations/manchester,City,Manchester,uk
https://altftool.com/locations/toronto,City,Toronto,canada
https://altftool.com/locations/vancouver,City,Vancouver,canada
https://altftool.com/locations/sydney,City,Sydney,australia
https://altftool.com/locations/melbourne,City,Melbourne,australia
https://altftool.com/locations/berlin,City,Berlin,germany
https://altftool.com/locations/paris,City,Paris,france
https://altftool.com/locations/dubai,City,Dubai,uae
https://altftool.com/locations/abu-dhabi,City,Abu Dhabi,uae
https://altftool.com/locations/tokyo,City,Tokyo,japan
https://altftool.com/locations/toronto-gta,City,Greater Toronto Area,canada
